"","MUNIC_RES","ANO_MES_INTERNACAO","n_internacoes"
"438","280480","2018-11",8
"439","280490","2018-11",1
"440","280510","2018-11",1
"441","280560","2018-11",1
"442","280570","2018-11",1
"443","280590","2018-11",6
"444","280630","2018-11",5
"445","280640","2018-11",1
"446","280650","2018-11",3
"447","280670","2018-11",4
"448","280720","2018-11",1
"449","280740","2018-11",1
"450","280750","2018-11",1
"451","280760","2018-11",2
"452","290860","2018-11",1
"453","280020","2018-12",10
"454","280030","2018-12",17
"455","280050","2018-12",1
"456","280060","2018-12",1
"457","280067","2018-12",1
"458","280130","2018-12",4
"459","280140","2018-12",1
"460","280150","2018-12",1
"461","280170","2018-12",2
"462","280190","2018-12",1
"463","280200","2018-12",1
"464","280210","2018-12",4
"465","280280","2018-12",1
"466","280290","2018-12",2
"467","280320","2018-12",1
"468","280330","2018-12",1
"469","280340","2018-12",1
"470","280350","2018-12",2
"471","280360","2018-12",1
"472","280410","2018-12",2
"473","280480","2018-12",12
"474","280500","2018-12",1
"475","280510","2018-12",2
"476","280550","2018-12",1
"477","280590","2018-12",4
"478","280620","2018-12",1
"479","280630","2018-12",1
"480","280640","2018-12",2
"481","280650","2018-12",4
"482","280670","2018-12",5
"483","280680","2018-12",1
"484","280690","2018-12",1
"485","280740","2018-12",3
"486","280750","2018-12",1
"487","260680","2019-01",1
"488","280010","2019-01",1
"489","280020","2019-01",8
"490","280030","2019-01",21
"491","280130","2019-01",7
"492","280170","2019-01",1
"493","280190","2019-01",1
"494","280200","2019-01",1
"495","280210","2019-01",7
"496","280270","2019-01",1
"497","280280","2019-01",2
"498","280290","2019-01",1
"499","280300","2019-01",4
"500","280320","2019-01",1
"501","280340","2019-01",1
"502","280350","2019-01",1
"503","280360","2019-01",2
"504","280390","2019-01",1
"505","280480","2019-01",13
"506","280510","2019-01",1
"507","280530","2019-01",1
"508","280570","2019-01",1
"509","280590","2019-01",5
"510","280620","2019-01",2
"511","280630","2019-01",1
"512","280660","2019-01",1
"513","280670","2019-01",2
"514","280710","2019-01",1
"515","280730","2019-01",1
"516","280740","2019-01",1
"517","280750","2019-01",3
"518","280760","2019-01",1
"519","270240","2019-02",1
"520","280020","2019-02",13
"521","280030","2019-02",14
"522","280050","2019-02",1
"523","280060","2019-02",2
"524","280130","2019-02",1
"525","280140","2019-02",1
"526","280150","2019-02",1
"527","280170","2019-02",1
"528","280200","2019-02",2
"529","280210","2019-02",3
"530","280270","2019-02",1
"531","280290","2019-02",2
"532","280300","2019-02",1
"533","280330","2019-02",1
"534","280350","2019-02",2
"535","280360","2019-02",1
"536","280390","2019-02",1
"537","280400","2019-02",1
"538","280430","2019-02",1
"539","280450","2019-02",1
"540","280480","2019-02",9
"541","280490","2019-02",1
"542","280520","2019-02",1
"543","280550","2019-02",2
"544","280560","2019-02",1
"545","280590","2019-02",4
"546","280620","2019-02",1
"547","280630","2019-02",2
"548","280640","2019-02",1
"549","280650","2019-02",1
"550","280670","2019-02",5
"551","280710","2019-02",1
"552","280760","2019-02",1
"553","290920","2019-02",1
"554","292700","2019-02",1
"555","280020","2019-03",7
"556","280030","2019-03",16
"557","280060","2019-03",1
"558","280130","2019-03",6
"559","280170","2019-03",1
"560","280200","2019-03",1
"561","280210","2019-03",2
"562","280320","2019-03",1
"563","280350","2019-03",1
"564","280380","2019-03",2
"565","280450","2019-03",1
"566","280480","2019-03",5
"567","280500","2019-03",1
"568","280550","2019-03",1
"569","280590","2019-03",12
"570","280600","2019-03",1
"571","280610","2019-03",1
"572","280620","2019-03",1
"573","280640","2019-03",1
"574","280650","2019-03",2
"575","280670","2019-03",3
"576","280690","2019-03",1
"577","280710","2019-03",1
"578","280760","2019-03",1
"579","291810","2019-03",1
"580","292420","2019-03",1
"581","270320","2019-04",1
"582","280020","2019-04",3
"583","280030","2019-04",13
"584","280060","2019-04",1
